Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Richard L. Hanna,25-Jan-51,15-Dec-16,65,M,319 Cannon HOB; Washington DC 20515-3222,https://hanna.house.gov/email-me,http://hanna.house.gov,202-225-3665,Republican,5-Jan-11,3-Jan-17,5,59,NY,New York,23,319 Cannon House Office Building,rep,2018,Yes,,,
Richard M. Nolan,17-Dec-43,15-Dec-16,72,M,2366 Rayburn HOB; Washington DC 20515-2308,https://nolan.house.gov/contact/email-me,http://nolan.house.gov,202-225-6211,Democratic,14-Jan-75,3-Jan-17,41,31,MN,Minnesota,9,2366 Rayburn House Office Building,rep,2018,Yes,,,
Rick Larsen,15-Jun-65,15-Dec-16,51,M,2113 Rayburn HOB; Washington DC 20515-4702,http://larsen.house.gov/contact-rick/email-rick,http://larsen.house.gov,202-225-2605,Democratic,3-Jan-01,3-Jan-17,15,35,WA,Washington,3,2113 Rayburn House Office Building,rep,2018,Yes,,,
Rick W. Allen,7-Nov-51,15-Dec-16,65,M,513 Cannon HOB; Washington DC 20515-1012,,http://allen.house.gov,202-225-2823,Republican,6-Jan-15,3-Jan-17,1,63,GA,Georgia,13,513 Cannon House Office Building,rep,2018,No,"In response to an Atlanta Journal-Constitution question, Allen ñvehemently rejected the idea that warming is an established fact,î asserting in writing that the ñscience is definitely NOT settled.î","Atlanta Journal-Constitution, 12/31/15",http://www.myajc.com/news/news/state-regional-govt-politics/ga-politicians-cool-to-global-warming/njdR3/
Rob Bishop,13-Jul-51,15-Dec-16,65,M,123 Cannon HOB; Washington DC 20515-4401,https://robbishop.house.gov/contact/contactform.htm,http://robbishop.house.gov,202-225-0453,Republican,7-Jan-03,3-Jan-17,13,51,UT,Utah,2,123 Cannon House Office Building,rep,2018,No,If the issue is dealing with carbon in the air and there is climate change all the time and I wish there was more global warming right now. Because it's really cold here -- I want it warmer in some way.,"E&E News, 2/25/15",http://www.eenews.net/videos/1946/transcript
Rob Portman,19-Dec-55,15-Dec-16,60,M,448 Russell Senate Office Building Washington DC 20510,https://www.portman.senate.gov/public/index.cfm/contact-form,http://www.portman.senate.gov,202-224-3353,Republican,4-May-93,3-Jan-17,23,37,OH,Ohio,,448 Russell Senate Office Building,sen,2022,No,"'I do think climate change is real' Portman, who is seeking re-election in a key swing state, said he opposed the January measure because he's not sure how much of a factor human activity is in global warming. 'I'm not going to quantify it because scientists have a lot of different views on that,' he told reporters Thursday. ","Cincinnati.com, 3/17/15",http://www.cincinnati.com/story/news/politics/elections/2015/03/27/portman-climate-change-vote-hinges-one-word/70534216/
Rob Woodall,11-Feb-70,15-Dec-16,46,M,1724 Longworth HOB; Washington DC 20515-1007,https://woodall.house.gov/contact-me/email-me,http://woodall.house.gov,202-225-4272,Republican,5-Jan-11,3-Jan-17,5,40,GA,Georgia,8,1724 Longworth House Office Building,rep,2018,No,,,
Robert A. Brady,7-Apr-45,15-Dec-16,71,M,102 Cannon HOB; Washington DC 20515-3801,https://brady.house.gov/contact-me/email-me,http://brady.house.gov,202-225-4731,Democratic,19-May-98,3-Jan-17,18,53,PA,Pennsylvania,2,102 Cannon House Office Building,rep,2018,Yes,,,
Robert B. Aderholt,22-Jul-65,15-Dec-16,51,M,235 Cannon HOB; Washington DC 20515-0104,http://aderholt.house.gov/email-me2/,https://aderholt.house.gov,202-225-4876,Republican,7-Jan-97,3-Jan-17,19,31,AL,Alabama,5,235 Cannon House Office Building,rep,2018,No,"""I fall into the second group of people who believe, as do many very credible scientists, that the earth is currently in a natural warming cycle rather than a man-made climate change. Many scientists believe that natural cycles of warming and cooling have existed since the beginning of Earth. If we take the current models of climate prediction and apply those same models to what actually happened in the last thirty years, the models are shown to be very flawed. In addition, what knowledge we do have of a warming period in the Middle Ages cannot be explained by current models which are focused on greenhouse gas reductions.""","Daily Mountain Eagle Op-Ed, 12/13/10",https://aderholt.house.gov/media-center/in-the-news/controversy-about-climate-change
"Robert C. ""Bobby"" Scott",30-Apr-47,15-Dec-16,69,M,1201 Longworth HOB; Washington DC 20515-4603,https://bobbyscott.house.gov/contact/email-me,http://bobbyscott.house.gov,202-225-8351,Democratic,5-Jan-93,3-Jan-17,23,45,VA,Virginia,4,1201 Longworth House Office Building,rep,2018,Yes,,,
Robert E. Latta,18-Apr-56,15-Dec-16,60,M,2448 Rayburn HOB; Washington DC 20515-3505,https://latta.house.gov/contact/contactform.htm,http://latta.house.gov,202-225-6405,Republican,13-Dec-07,3-Jan-17,9,51,OH,Ohio,6,2448 Rayburn House Office Building,rep,2018,No,,,
Robert Hurt,16-Jun-69,15-Dec-16,47,M,125 Cannon HOB; Washington DC 20515-4605,https://hurt.house.gov/index.cfm/email-me,https://hurt.house.gov,202-225-4711,Republican,5-Jan-11,3-Jan-17,5,41,VA,Virginia,6,125 Cannon House Office Building,rep,2018,No,"Hurt said Climategate is scientists who have given us something that is not true. It is faulty information and it has real consequences in the 5th District, in the loss of jobs and in power bills from Appalachian Power Co. He has also said that climate change Led To The Vikings Dominating Europe For Several Hundred Years.","Climate Change Hearing 3/8/11 ||| Daily Progress, 2/28/10",http://www.youtube.com/watch?v=Y1MUMKQlLtM ||| http://www.dailyprogress.com/news/article_d930b154-0251-55b7-a67e-d150200557f9.html
Robert J. Dold,23-Jun-69,15-Dec-16,47,M,221 Cannon HOB; Washington DC 20515-1310,,https://dold.house.gov,202-225-4835,Republican,5-Jan-11,3-Jan-17,5,41,IL,Illinois,11,221 Cannon House Office Building,rep,2018,Yes,,,
Robert J. Wittman,3-Feb-59,15-Dec-16,57,M,2454 Rayburn HOB; Washington DC 20515-4601,https://wittman.house.gov/contact-form/,https://wittman.house.gov,202-225-4261,Republican,13-Dec-07,3-Jan-17,9,48,VA,Virginia,2,2454 Rayburn House Office Building,rep,2018,No,ñWe must recognize that these climactic cycles of heating and cooling have been going on well before man appeared on earth.î,"American Prospect, 7/17/15",http://prospect.org/article/three-climate-deniers-congress-whose-districts-will-soon-be-underwater
Robert Menendez,1-Jan-54,15-Dec-16,62,M,528 Hart Senate Office Building Washington DC 20510,http://www.menendez.senate.gov/contact,http://www.menendez.senate.gov,202-224-4744,Democratic,5-Jan-93,3-Jan-19,23,39,NJ,New Jersey,,528 Hart Senate Office Building,sen,2018,Yes,,,
"Robert P. Casey, Jr.",13-Apr-60,15-Dec-16,56,M,393 Russell Senate Office Building Washington DC 20510,http://www.casey.senate.gov/contact/,https://www.casey.senate.gov,202-224-6324,Democratic,4-Jan-07,3-Jan-19,9,46,PA,Pennsylvania,,393 Russell Senate Office Building,sen,2018,Yes,,,
Robert Pittenger,15-Aug-48,15-Dec-16,68,M,224 Cannon HOB; Washington DC 20515-3309,https://pittenger.house.gov/contact/email-me,http://pittenger.house.gov,202-225-1976,Republican,3-Jan-13,3-Jan-17,3,64,NC,North Carolina,10,224 Cannon House Office Building,rep,2018,No,"Pittenger doesn't mind standing his ground, even when it's lonely. For example, he's the most prominent skeptic on a legislative commission on climate change. Like a sort of anti-Al Gore, he shows a PowerPoint full of statistics about halocarbons and nitrous oxide, and quotes from scientists who, like him, have tried to debunk the science behind global warming. 'There are people up there relaxed about the system on both sides of the aisle,' he said. 'My job is not to go out there and just 'kumbaya.' Sen. Pittenger also suggested that snow disproves climate change. Today, a Congressional hearing on global warming had to be cancelled because of all the March snow outside, he tweeted.","Charlotte Observer, 4/1/08 ||| Robert Pittenger Twitter, 3/6/13",||| http://www.usnews.com/news/articles/2015-12-22/remember-the-congressmen-who-said-global-warming-doesnt-exist-because-its-cold
Robin L. Kelly,30-Apr-56,15-Dec-16,60,F,1239 Longworth HOB; Washington DC 20515-1302,https://robinkelly.house.gov/contact/email-me,http://robinkelly.house.gov,202-225-0773,Democratic,9-Apr-13,3-Jan-17,3,56,IL,Illinois,3,1239 Longworth House Office Building,rep,2018,Yes,,,
Rod Blum,26-Apr-55,15-Dec-16,61,M,213 Cannon HOB; Washington DC 20515-1501,,https://blum.house.gov,202-225-2911,Republican,6-Jan-15,3-Jan-17,1,59,IA,Iowa,2,213 Cannon House Office Building,rep,2018,No,"Well, it's interesting. I can see why the average citizen is skeptical about this. I guess you can put me in that camp. I'm skeptical. I'm not a scientist, and I know most scientists' paychecks come from the federal government, and so right away that makes me a bit skeptical. Thirty years ago we were going into a global cooling period. That makes me skeptical.","Iowa Public Radio, 5/29/14",http://iowapublicradio.org/post/candidate-profile-rod-blum#stream/0
Rodney Davis,5-Jan-70,15-Dec-16,46,M,1740 Longworth HOB; Washington DC 20515-1313,https://rodneydavisforms.house.gov/contact/,http://rodneydavis.house.gov,202-225-2371,Republican,3-Jan-13,3-Jan-17,3,42,IL,Illinois,14,1740 Longworth House Office Building,rep,2018,No,"During an interview with Illinois Public Media radio, a constituent asked Representative Rodney Davis what he planned to do to combat climate change, and he responded that global warming has stopped 16 years ago. He then went on the say that climate change is real but the debate is over whether or not it is manmade or natural.","Illinois Public Media, 10/16/12",http://will.illinois.edu/focus/program/talk-to-the-candidate-rodney-davis-r-13th-illinois-congressional-district
Rodney P. Frelinghuysen,29-Apr-46,15-Dec-16,70,M,2306 Rayburn HOB; Washington DC 20515-3011,https://frelinghuysenforms.house.gov/contact-form,http://frelinghuysen.house.gov,202-225-5034,Republican,4-Jan-95,3-Jan-17,21,48,NJ,New Jersey,12,2306 Rayburn House Office Building,rep,2018,No,"ñDo I believe in climate change? I do, yeah,Í he told National Journal in 2011. ïWith the weather patterns over the past five yearsƒ What causes it? Quite honestly, I donÍt knowƒHumans have some effect on climate change. ThereÍs so many factors.Íî","Politifact, 5/18/14",http://www.politifact.com/truth-o-meter/statements/2014/may/18/jerry-brown/jerry-brown-says-virtually-no-republican-believes-/
Roger F. Wicker,5-Jul-51,15-Dec-16,65,M,555 Dirksen Senate Office Building Washington DC 20510,http://www.wicker.senate.gov/public/index.cfm/contact,http://www.wicker.senate.gov,202-224-6253,Republican,4-Jan-95,3-Jan-19,21,43,MS,Mississippi,,555 Dirksen Senate Office Building,sen,2018,No,"Sen. Wicker was the only senator to vote against an amendment stating ñClimate change is real and not a hoax.î In a statement after the vote Wicker said, ñI agree with the more than 31,000 American scientists who do not believe the science on this matter is settled. Scientific research is advanced by asking questions and allowing for multiple viewpoints.î","Mashable, 1/22/15",http://mashable.com/2015/01/22/roger-wicker-only-no-vote-climate-science/#vs53MWgT0sqw
Roger Williams,13-Sep-49,15-Dec-16,67,M,1323 Longworth HOB; Washington DC 20515-4325,https://williams.house.gov/contact/email-me,http://williams.house.gov,202-225-9896,Republican,3-Jan-13,3-Jan-17,3,63,TX,Texas,26,1323 Longworth House Office Building,rep,2018,No,,,
Ron DeSantis,14-Sep-78,15-Dec-16,38,M,308 Cannon HOB; Washington DC 20515-0906,https://desantis.house.gov/contact/email-me,http://desantis.house.gov,202-225-2706,Republican,3-Jan-13,3-Jan-17,3,34,FL,Florida,7,308 Cannon House Office Building,rep,2018,No,,,
Ron Johnson,8-Apr-55,15-Dec-16,61,M,328 Hart Senate Office Building Washington DC 20510,http://www.ronjohnson.senate.gov/public/index.cfm/contact,http://www.ronjohnson.senate.gov,202-224-5323,Republican,5-Jan-11,3-Jan-17,5,55,WI,Wisconsin,,328 Hart Senate Office Building,sen,2022,No,I absolutely do not believe in the science of man-caused climate change. It's not proven by any stretch of the imagination. It's far more likely that it's sunspot activity or just something in the geologic eons of time.,Journal Sentinel,http://www.jsonline.com/multimedia/video/?bcpid=13960334001&bctid=590004292001
Ron Kind,16-Mar-63,15-Dec-16,53,M,1502 Longworth HOB; Washington DC 20515-4903,https://kindforms.house.gov/email-ron,http://kind.house.gov,202-225-5506,Democratic,7-Jan-97,3-Jan-17,19,33,WI,Wisconsin,4,1502 Longworth House Office Building,rep,2018,Yes,,,
Ron Wyden,3-May-49,15-Dec-16,67,M,221 Dirksen Senate Office Building Washington DC 20510,http://www.wyden.senate.gov/contact,https://www.wyden.senate.gov,202-224-5244,Democratic,5-Jan-81,3-Jan-17,35,31,OR,Oregon,,221 Dirksen Senate Office Building,sen,2022,Yes,,,
Rosa L. DeLauro,2-Mar-43,15-Dec-16,73,F,2413 Rayburn HOB; Washington DC 20515-0703,https://forms.house.gov/delauro/webforms/contact_form_email.shtml,http://delauro.house.gov,202-225-3661,Democratic,3-Jan-91,3-Jan-17,25,47,CT,Connecticut,4,2413 Rayburn House Office Building,rep,2018,Yes,,,
Roy Blunt,10-Jan-50,15-Dec-16,66,M,260 Russell Senate Office Building Washington DC 20510,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,http://www.blunt.senate.gov,202-224-5721,Republican,7-Jan-97,3-Jan-17,19,46,MO,Missouri,,260 Russell Senate Office Building,sen,2022,No,There isn't any real science to say we are altering the climate path of the earth.,"Human Events, 4/29/09",http://humanevents.com/2009/04/29/christian-leaders-condemn-hate-crimes-bill/
Ruben Gallego,20-Nov-79,15-Dec-16,37,M,1218 Longworth HOB; Washington DC 20515-0307,,https://rubengallego.house.gov,202-225-4065,Democratic,6-Jan-15,3-Jan-17,1,35,AZ,Arizona,8,1218 Longworth House Office Building,rep,2018,Yes,,,
Ruben Hinojosa,20-Aug-40,15-Dec-16,76,M,2262 Rayburn HOB; Washington DC 20515-4315,https://hinojosa.house.gov/contact-me/email-me,http://hinojosa.house.gov,202-225-2531,Democratic,7-Jan-97,3-Jan-17,19,56,TX,Texas,16,2262 Rayburn House Office Building,rep,2018,Yes,,,
Ryan A. Costello,7-Sep-76,15-Dec-16,40,M,427 Cannon HOB; Washington DC 20515-3806,,https://costello.house.gov,202-225-4315,Republican,6-Jan-15,3-Jan-17,1,38,PA,Pennsylvania,7,427 Cannon House Office Building,rep,2018,Yes,,,
Ryan K. Zinke,1-Nov-61,15-Dec-16,55,M,113 Cannon HOB; Washington DC 20515-2600,,https://zinke.house.gov,202-225-3211,Republican,6-Jan-15,3-Jan-17,1,53,MT,Montana,1,113 Cannon House Office Building,rep,2018,No,"ñItÍs not a hoax, but itÍs not proven science either. But you donÍt dismantle AmericaÍs power and energy on a maybe. We need to be energy independent first. We need to do it better, which we can, but it is not a settled science.î","ThinkProgress, 10/5/14",http://thinkprogress.org/climate/2014/10/05/3576204/montana-candidate-climate-science/
Sam Farr,4-Jul-41,15-Dec-16,75,M,1126 Longworth HOB; Washington DC 20515-0520,https://forms.house.gov/farr/webforms/issue_subscribe.html,http://farr.house.gov,202-225-2861,Democratic,8-Jun-93,3-Jan-17,23,51,CA,California,21,1126 Longworth House Office Building,rep,2018,Yes,,,
Sam Graves,7-Nov-63,15-Dec-16,53,M,1415 Longworth HOB; Washington DC 20515-2506,https://gravesforms.house.gov/email-sam,https://graves.house.gov,202-225-7041,Republican,3-Jan-01,3-Jan-17,15,37,MO,Missouri,7,1415 Longworth House Office Building,rep,2018,No,,,
Sam Johnson,11-Oct-30,15-Dec-16,86,M,2304 Rayburn HOB; Washington DC 20515-4303,http://samjohnson.house.gov/contact/,http://samjohnson.house.gov,202-225-4201,Republican,3-Jan-91,3-Jan-17,25,60,TX,Texas,4,2304 Rayburn House Office Building,rep,2018,No,,,
Sander M. Levin,6-Sep-31,15-Dec-16,85,M,1236 Longworth HOB; Washington DC 20515-2209,https://levin.house.gov/contact-me/email-me,http://levin.house.gov,202-225-4961,Democratic,3-Jan-83,3-Jan-17,33,51,MI,Michigan,10,1236 Longworth House Office Building,rep,2018,Yes,,,
Sanford D. Bishop Jr.,4-Feb-47,15-Dec-16,69,M,2407 Rayburn HOB; Washington DC 20515-1002,http://bishop.house.gov/contact,http://bishop.house.gov,202-225-3631,Democratic,5-Jan-93,3-Jan-17,23,45,GA,Georgia,3,2407 Rayburn House Office Building,rep,2018,Yes,,,
Scott DesJarlais,21-Feb-64,15-Dec-16,52,M,413 Cannon HOB; Washington DC 20515-4204,http://desjarlais.house.gov/contact/email-me,https://desjarlais.house.gov,202-225-6831,Republican,5-Jan-11,3-Jan-17,5,46,TN,Tennessee,5,413 Cannon House Office Building,rep,2018,No,,,
Scott Garrett,9-Jul-59,15-Dec-16,57,M,2232 Rayburn HOB; Washington DC 20515-3005,https://garrettforms.house.gov/forms/writeyourrep/?zip5=07452&zip4=3321,http://garrett.house.gov,202-225-4465,Republican,7-Jan-03,3-Jan-17,13,43,NJ,New Jersey,6,2232 Rayburn House Office Building,rep,2018,No,"The real question that still exists in a lot of people's minds, experts and non-experts alike, on the area of global warming and what role the government should have in this realm. I've heard a number of experts on both sides of the equation on this issue and to me the evidence, the question is still out there.","New Jersey Q&A, 9/30/10",http://blog.northjersey.com/thepoliticalstate/78/congress-qa-climate-change/
Scott H. Peters,17-Jun-58,15-Dec-16,58,M,1122 Longworth HOB; Washington DC 20515-0552,https://scottpeters.house.gov/contact/email-me,http://scottpeters.house.gov,202-225-0508,Democratic,3-Jan-13,3-Jan-17,3,54,CA,California,53,1122 Longworth House Office Building,rep,2018,Yes,,,
Scott Perry,27-May-62,15-Dec-16,54,M,1207 Longworth HOB; Washington DC 20515-3804,http://perryforms.house.gov/forms/writeyourrep/,http://perry.house.gov,202-225-5836,Republican,3-Jan-13,3-Jan-17,3,50,PA,Pennsylvania,5,1207 Longworth House Office Building,rep,2018,No,"'I do believe global warming is occurring. However, I do take exception, whether it's man-made or not. I learned in public school, the scientific theory. You have a theory and it has to be proven. And I'm concerned anytime that a nation, or the world, makes up policy based on a theory that. has gained consensus but' does not have proof, he said. Perry's denial could be softening. Last year, he said that humans to contribute to climate change, but questioned humans' impact: There's 'no doubt' climate change has been happening,"" Perry said, and he thinks ""man contributes to it to a certain extent.""","YDR Politics, 9/20/12",http://www.yorkblog.com/ydrpolitics/2012/09/20/how-much-do-people-contribute-to-global-warming-congressional-candidates-for-york-county-weigh-in/
Scott R. Tipton,9-Nov-56,15-Dec-16,60,M,218 Cannon HOB; Washington DC 20515-0603,https://tipton.house.gov/contact-me/email-me,http://tipton.house.gov,202-225-4761,Republican,5-Jan-11,3-Jan-17,5,54,CO,Colorado,4,218 Cannon House Office Building,rep,2018,No,"ñRep. Tipton conceded that climate change exists, but argued that itÍs caused by natural climate cycles rather than humans. ïHere in the state of Colorado as our tree rings demonstrate, weÍve had droughts long before there were very many people here,Í the Tea Party freshman argued. Acknowledging that humans can affect the climate is futile because it would ïdivide America,Í said Tipton.î","ThinkProgress, 8/23/12",http://thinkprogress.org/climate/2012/08/23/734181/scott-tipton-climate-change/
Sean P. Duffy,3-Oct-71,15-Dec-16,45,M,1208 Longworth HOB; Washington DC 20515-4907,http://duffy.house.gov/contact,https://duffy.house.gov,202-225-3365,Republican,5-Jan-11,3-Jan-17,5,39,WI,Wisconsin,8,1208 Longworth House Office Building,rep,2018,No,,,
Sean Patrick Maloney,30-Jul-66,15-Dec-16,50,M,1529 Longworth HOB; Washington DC 20515-3218,https://seanmaloney.house.gov/contact/email-me,http://seanmaloney.house.gov,202-225-5441,Democratic,3-Jan-13,3-Jan-17,3,46,NY,New York,19,1529 Longworth House Office Building,rep,2018,Yes,,,
Seth Moulton,24-Oct-78,15-Dec-16,38,M,1408 Longworth HOB; Washington DC 20515-2106,,https://moulton.house.gov,202-225-8020,Democratic,6-Jan-15,3-Jan-17,1,36,MA,Massachusetts,7,1408 Longworth House Office Building,rep,2018,Yes,,,
Sheila Jackson Lee,12-Jan-50,15-Dec-16,66,F,2252 Rayburn HOB; Washington DC 20515-4318,http://jacksonlee.house.gov/contact/,http://jacksonlee.house.gov,202-225-3816,Democratic,4-Jan-95,3-Jan-17,21,44,TX,Texas,19,2252 Rayburn House Office Building,rep,2018,Yes,,,
Sheldon Whitehouse,20-Oct-55,15-Dec-16,61,M,530 Hart Senate Office Building Washington DC 20510,http://www.whitehouse.senate.gov/contact,https://www.whitehouse.senate.gov,202-224-2921,Democratic,4-Jan-07,3-Jan-19,9,51,RI,Rhode Island,,530 Hart Senate Office Building,sen,2018,Yes,,,
Shelley Moore Capito,26-Nov-53,15-Dec-16,63,F,172 Russell Senate Office Building Washington DC 20510,https://capitoforms.house.gov/email-shelley/,https://www.capito.senate.gov,202-224-6472,Republican,3-Jan-01,3-Jan-21,15,47,WV,West Virginia,,172 Russell Senate Office Building,sen,2020,No,"I don't necessarily think the climate's changing, no.",Journal Sentinel,http://www.huffingtonpost.com/2014/10/08/capito-climate-change_n_5953796.html
Sherrod Brown,9-Nov-52,15-Dec-16,64,M,713 Hart Senate Office Building Washington DC 20510,http://www.brown.senate.gov/contact,https://www.brown.senate.gov,202-224-2315,Democratic,5-Jan-93,3-Jan-19,23,40,OH,Ohio,,713 Hart Senate Office Building,sen,2018,Yes,,,
Steny H. Hoyer,14-Jun-39,15-Dec-16,77,M,1705 Longworth HOB; Washington DC 20515-2005,https://hoyer.house.gov/email-steny,http://hoyer.house.gov,202-225-4131,Democratic,5-Jan-81,3-Jan-17,35,41,MD,Maryland,6,1705 Longworth House Office Building,rep,2018,Yes,,,
Stephen F. Lynch,31-Mar-55,15-Dec-16,61,M,2369 Rayburn HOB; Washington DC 20515-2108,https://lynch.house.gov/contact-me/email-me,http://lynch.house.gov,202-225-8273,Democratic,23-Oct-01,3-Jan-17,15,46,MA,Massachusetts,9,2369 Rayburn House Office Building,rep,2018,Yes,,,
Stephen Knight,17-Dec-66,15-Dec-16,49,M,1023 Longworth HOB; Washington DC 20515-0525,,https://knight.house.gov,202-225-1956,Republican,6-Jan-15,3-Jan-17,1,48,CA,California,26,1023 Longworth House Office Building,rep,2018,No,,,
Stephen Lee Fincher,7-Feb-73,15-Dec-16,43,M,2452 Rayburn HOB; Washington DC 20515-4208,https://fincher.house.gov/contact/email-me#.U06uR_ldWVo,http://fincher.house.gov,202-225-4714,Republican,5-Jan-11,3-Jan-17,5,37,TN,Tennessee,9,2452 Rayburn House Office Building,rep,2018,No,,,
Stevan Pearce,24-Aug-47,15-Dec-16,69,M,2432 Rayburn HOB; Washington DC 20515-3102,https://pearce.house.gov/contact-me/email-me,http://pearce.house.gov,202-225-2365,Republican,7-Jan-03,3-Jan-17,13,55,NM,New Mexico,3,2432 Rayburn House Office Building,rep,2018,No,"ñI googled this issue a couple of days ago, see that there are 31,000 scientists who say that human action is not causing the global warming at all. And in fact the last 17 years there has not been global warming, the temperature has been very stable for the last 17 years.î","Mother Jones, 10/28/14",http://www.motherjones.com/blue-marble/2014/10/craziest-things-republican-candidates-have-said-about-climate-change-one-video
Steve Chabot,22-Jan-53,15-Dec-16,63,M,2371 Rayburn HOB; Washington DC 20515-3501,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003,http://chabot.house.gov,202-225-2216,Republican,4-Jan-95,3-Jan-17,21,41,OH,Ohio,2,2371 Rayburn House Office Building,rep,2018,No,"Despite claims to the contrary, the evidence concerning man-made climate change is far from conclusive. However, what is conclusive is the damage some of the more extreme proposals intended to address climate change, like cap-and-trade, will have on our economy.","Cincinatti.com, 3/27/15",http://www.cincinnati.com/story/news/politics/2014/10/11/climate-can-debate-forever/17137787/
Steve Cohen,24-May-49,15-Dec-16,67,M,2404 Rayburn HOB; Washington DC 20515-4209,https://cohen.house.gov/contact-me/email-me,http://cohen.house.gov,202-225-3265,Democratic,4-Jan-07,3-Jan-17,9,57,TN,Tennessee,10,2404 Rayburn House Office Building,rep,2018,Yes,,,
Steve Daines,20-Aug-62,15-Dec-16,54,M,320 Hart Senate Office Building Washington DC 20510,https://daines.house.gov/email-me,https://www.daines.senate.gov,202-224-2651,Republican,3-Jan-13,3-Jan-21,3,50,MT,Montana,,320 Hart Senate Office Building,sen,2020,No,"In a radio interview with Montana Public Radio, Daines admits the climate is changing but questions the impacts by man, that there is significant debate here, the jury is still out, and brings up the debate of sun/solar cycles versus greenhouse gases.","Montana Public Radio, 12/2/12",http://mtpr.org/post/interview-us-house-candidate-steve-daines
Steve Israel,30-May-58,15-Dec-16,58,M,2457 Rayburn HOB; Washington DC 20515-3203,https://israel.house.gov/contact/email-me,http://israel.house.gov,202-225-3335,Democratic,3-Jan-01,3-Jan-17,15,42,NY,New York,4,2457 Rayburn House Office Building,rep,2018,Yes,,,
Steve King,28-May-49,15-Dec-16,67,M,2210 Rayburn HOB; Washington DC 20515-1504,https://forms.house.gov/king/webforms/issue_subscribe.html,https://steveking.house.gov,202-225-4426,Republican,7-Jan-03,3-Jan-17,13,53,IA,Iowa,5,2210 Rayburn House Office Building,rep,2018,No,"At an event sponsored by the Koch-funded Americans for Prosperity, King told the audience that climate change is not proven, it's not science. It's more of a religion than a science. More recently he suggested climate scientists have collected a lot of money from donors in government and created a science that's awfully hard to sustain. He also said that more carbon dioxide in the atmosphere could be good. Everything that might result from a warmer planet is always bad in [environmentalists'] analysis, King said. There will be more photosynthesis going on if the Earth gets warmer. And if sea levels go up 4 or 6 inches, I don't know if we'd know that.","ThinkProgress, 8/7/13 ||| The Daily Caller, 12/14/15",http://thinkprogress.org/climate/2013/08/07/2429331/steve-king-climate-religion/ ||| http://dailycaller.com/2015/12/14/rep-steve-king-climate-scientists-benefiting-from-federal-dollars/#ixzz40NJ6Mq4c
Steve Russell,25-May-63,15-Dec-16,53,M,128 Cannon HOB; Washington DC 20515-3605,,https://russell.house.gov,202-225-2132,Republican,6-Jan-15,3-Jan-17,1,51,OK,Oklahoma,6,128 Cannon House Office Building,rep,2018,No,,,
Steve Scalise,6-Oct-65,15-Dec-16,51,M,2338 Rayburn HOB; Washington DC 20515-1801,https://scalise.house.gov/contact-me/email-me,http://scalise.house.gov,202-225-3015,Republican,7-May-08,3-Jan-17,8,42,LA,Louisiana,2,2338 Rayburn House Office Building,rep,2018,No,"While their global warming agenda continues to lose support, it's ironic that radical environmentalists are at it again, less than a month after NOAA (National Oceanic and Atmospheric Administration), announced the Great Lakes had the most widespread ice coverage in over 35 years. Thirty years ago liberals were using global cooling to push new radical regulations. Then they shifted their focus to global warming in an effort to prop up wave after wave of job-killing regulations that are leading to skyrocketing food and energy costs.","The Times-Picayune, 3/31/14",http://www.nola.com/politics/index.ssf/2014/03/un_global_warming_report_says.html
Steve Stivers,24-Mar-65,15-Dec-16,51,M,1022 Longworth HOB; Washington DC 20515-3515,https://stivers.house.gov/forms/writeyourrep/,http://stivers.house.gov,202-225-2015,Republican,5-Jan-11,3-Jan-17,5,45,OH,Ohio,16,1022 Longworth House Office Building,rep,2018,No,Stivers disagrees with the statement: Man-made global warming is a scientific fact.,"NRDC Action Fund, 8/30/10",http://www.nrdcactionfund.org/updates/congressional-candidates-views-on-clean-energy-climate-change-oh-15.html/
Steve Womack,18-Feb-57,15-Dec-16,59,M,1119 Longworth HOB; Washington DC 20515-0403,https://womack.house.gov/contact/contactform.htm,http://womack.house.gov,202-225-4301,Republican,5-Jan-11,3-Jan-17,5,53,AR,Arkansas,4,1119 Longworth House Office Building,rep,2018,No,,,
Steven M. Palazzo,21-Feb-70,15-Dec-16,46,M,331 Cannon HOB; Washington DC 20515-2404,http://palazzo.house.gov/contact/,http://palazzo.house.gov,202-225-5772,Republican,5-Jan-11,3-Jan-17,5,40,MS,Mississippi,5,331 Cannon House Office Building,rep,2018,No,,,
Susan A. Davis,13-Apr-44,15-Dec-16,72,F,1214 Longworth HOB; Washington DC 20515-0553,https://susandavisforms.house.gov/forms/writeyourrep/,http://susandavis.house.gov,202-225-2040,Democratic,3-Jan-01,3-Jan-17,15,56,CA,California,54,1214 Longworth House Office Building,rep,2018,Yes,,,
